113.266035 -10.218647 219.264398 1.231385 2.822501 -0.063089	113.266035 -10.218647 219.264398 1.231385 2.822501 -0.063089
113.220756 -9.822701 219.058964 1.216445 2.778255 -0.033013	113.220756 -9.822701 219.058964 1.216445 2.778255 -0.033013
112.84662 -10.569388 217.764177 1.200787 2.757428 -0.01476	112.84662 -10.569388 217.764177 1.200787 2.757428 -0.01476
112.745921 -10.498102 218.389846 1.223574 2.779697 -0.00607	112.745921 -10.498102 218.389846 1.223574 2.779697 -0.00607
113.890575 -11.139512 217.761365 1.216659 2.818545 -0.038522	113.890575 -11.139512 217.761365 1.216659 2.818545 -0.038522
113.359495 -10.9177 218.332731 1.247928 2.951322 -0.012564	113.359495 -10.9177 218.332731 1.247928 2.951322 -0.012564
115.150739 -10.784328 220.328047 1.240133 3.003898 0.033363	115.150739 -10.784328 220.328047 1.240133 3.003898 0.033363
114.747569 -11.53069 221.08159 1.214684 3.033598 0.066955	114.747569 -11.53069 221.08159 1.214684 3.033598 0.066955
114.16759 -10.752891 219.830219 1.074656 2.904144 0.127265	114.16759 -10.752891 219.830219 1.074656 2.904144 0.127265
114.197445 -10.829834 217.769719 1.004802 2.834427 0.13321	114.197445 -10.829834 217.769719 1.004802 2.834427 0.13321
112.699393 -10.243291 219.343216 0.938683 2.745825 0.12841	112.699393 -10.243291 219.343216 0.938683 2.745825 0.12841
112.053273 -10.457139 217.593054 0.874647 2.577688 0.125132	112.053273 -10.457139 217.593054 0.874647 2.577688 0.125132
109.486641 -10.422189 214.576202 0.839969 2.459115 0.130488	109.486641 -10.422189 214.576202 0.839969 2.459115 0.130488
109.357759 -9.664795 216.09216 0.836502 2.408708 0.11991	109.357759 -9.664795 216.09216 0.836502 2.408708 0.11991
108.130683 -9.81254 214.135313 0.832452 2.298449 0.123573	108.130683 -9.81254 214.135313 0.832452 2.298449 0.123573
109.797449 -10.044897 214.607746 0.913828 2.402441 0.13592	109.797449 -10.044897 214.607746 0.913828 2.402441 0.13592
110.737842 -10.040133 215.453877 0.972066 2.51286 0.149683	110.737842 -10.040133 215.453877 0.972066 2.51286 0.149683
112.042203 -11.250728 217.126887 1.039889 2.527623 0.153509	112.042203 -11.250728 217.126887 1.039889 2.527623 0.153509
112.350304 -10.5829 217.812717 1.062718 2.552853 0.087653	112.350304 -10.5829 217.812717 1.062718 2.552853 0.087653
113.467581 -10.269758 220.672217 1.116743 2.560994 0.064993	113.467581 -10.269758 220.672217 1.116743 2.560994 0.064993
110.789536 -9.448898 218.79286 1.191571 2.399539 0.007466	110.789536 -9.448898 218.79286 1.191571 2.399539 0.007466
112.959473 -10.624927 220.309399 1.281145 2.436269 0.05987	112.959473 -10.624927 220.309399 1.281145 2.436269 0.05987
113.950308 -10.525187 221.213298 1.31391 2.468796 0.050765	113.950308 -10.525187 221.213298 1.31391 2.468796 0.050765
112.373813 -10.240866 219.231428 1.325136 2.385105 0.068915	112.373813 -10.240866 219.231428 1.325136 2.385105 0.068915
112.914801 -10.049384 220.69137 1.360588 2.486292 0.088932	112.914801 -10.049384 220.69137 1.360588 2.486292 0.088932
115.667051 -12.112093 221.580465 1.3734 2.538122 0.036556	115.667051 -12.112093 221.580465 1.3734 2.538122 0.036556
110.6439 -10.199633 218.724925 1.320448 2.26114 0.088955	110.6439 -10.199633 218.724925 1.320448 2.26114 0.088955
111.983787 -10.684591 220.601524 1.258488 2.274649 0.067566	111.983787 -10.684591 220.601524 1.258488 2.274649 0.067566
108.490143 -8.921689 218.048814 1.142647 2.098925 0.149132	108.490143 -8.921689 218.048814 1.142647 2.098925 0.149132
109.812381 -10.379416 215.969044 1.138795 2.116876 0.185242	109.812381 -10.379416 215.969044 1.138795 2.116876 0.185242
110.744332 -10.054797 218.271644 1.145902 2.192476 0.137819	110.744332 -10.054797 218.271644 1.145902 2.192476 0.137819
109.601055 -9.385095 219.032204 1.130664 2.106808 0.175841	109.601055 -9.385095 219.032204 1.130664 2.106808 0.175841
109.010966 -9.898359 216.871845 1.098706 2.009692 0.169474	109.010966 -9.898359 216.871845 1.098706 2.009692 0.169474
109.161108 -9.269613 217.886041 1.092965 2.005818 0.172574	109.161108 -9.269613 217.886041 1.092965 2.005818 0.172574
109.405194 -10.083627 215.74599 1.084354 2.206656 0.184576	109.405194 -10.083627 215.74599 1.084354 2.206656 0.184576
109.418454 -10.461771 216.581302 1.060117 2.192002 0.179076	109.418454 -10.461771 216.581302 1.060117 2.192002 0.179076
109.715492 -10.102485 218.390998 1.027326 2.202786 0.195881	109.715492 -10.102485 218.390998 1.027326 2.202786 0.195881
110.279197 -10.585275 218.838161 1.009117 2.165458 0.158549	110.279197 -10.585275 218.838161 1.009117 2.165458 0.158549
107.516175 -9.998045 215.49824 0.952735 2.049738 0.162627	107.516175 -9.998045 215.49824 0.952735 2.049738 0.162627
107.897879 -9.056386 217.03391 0.94132 2.03529 0.204258	107.897879 -9.056386 217.03391 0.94132 2.03529 0.204258
109.210119 -10.185988 217.709695 0.956595 2.008688 0.215136	109.210119 -10.185988 217.709695 0.956595 2.008688 0.215136
108.009535 -10.177227 214.71623 0.936038 2.084088 0.25286	108.009535 -10.177227 214.71623 0.936038 2.084088 0.25286
110.122816 -11.395707 215.522051 0.964995 2.280182 0.21883	110.122816 -11.395707 215.522051 0.964995 2.280182 0.21883
109.844972 -10.194536 216.756997 0.951368 2.302601 0.223473	109.844972 -10.194536 216.756997 0.951368 2.302601 0.223473
109.153891 -10.736026 215.793538 0.954692 2.261416 0.234778	109.153891 -10.736026 215.793538 0.954692 2.261416 0.234778
108.981862 -9.885257 217.791764 0.937109 2.267255 0.26442	108.981862 -9.885257 217.791764 0.937109 2.267255 0.26442
109.276599 -10.205968 213.838259 0.954077 2.313455 0.306156	109.276599 -10.205968 213.838259 0.954077 2.313455 0.306156
111.713084 -10.289181 216.75592 0.994373 2.488682 0.331801	111.713084 -10.289181 216.75592 0.994373 2.488682 0.331801
109.704866 -9.888574 216.57678 0.934144 2.442278 0.265849	109.704866 -9.888574 216.57678 0.934144 2.442278 0.265849
110.26387 -11.748037 215.090258 0.945039 2.373631 0.229051	110.26387 -11.748037 215.090258 0.945039 2.373631 0.229051
107.762066 -10.161383 213.695267 0.978553 2.293543 0.139818	107.762066 -10.161383 213.695267 0.978553 2.293543 0.139818
110.095082 -10.996246 215.876469 0.998354 2.372092 0.133999	110.095082 -10.996246 215.876469 0.998354 2.372092 0.133999
