2.655668e-03,	5.606232e-02,	4.446548e-01,	1.327834e-03,	2.803116e-02,	2.223274e-01,	8.517084e+00,	-6.255768e-01,	4.080863e-01,	
2.162854e-03,	5.627473e-02,	4.445432e-01,	1.081427e-03,	2.813736e-02,	2.222716e-01,	1.291996e+01,	-2.438877e+00,	4.161989e+00,	
1.576264e-03,	5.653484e-02,	4.444319e-01,	7.881318e-04,	2.826742e-02,	2.222160e-01,	7.527953e+00,	-2.949274e+00,	3.759412e+00,	
1.142120e-03,	5.677281e-02,	4.443727e-01,	5.710602e-04,	2.838641e-02,	2.221864e-01,	-2.036214e+01,	-1.612201e+00,	-8.414280e+00,	
2.484728e-04,	5.709313e-02,	4.439616e-01,	1.242364e-04,	2.854656e-02,	2.219808e-01,	5.094545e+00,	-1.735935e+00,	4.760520e+00,	
6.944063e-04,	5.757160e-02,	4.441755e-01,	3.472032e-04,	2.878580e-02,	2.220878e-01,	-1.697072e+00,	1.299182e+00,	-7.624149e-01,	
4.423458e-04,	5.811955e-02,	4.439035e-01,	2.211729e-04,	2.905977e-02,	2.219517e-01,	1.034150e+01,	3.832455e+00,	4.978296e+00,	
2.778576e-04,	5.868408e-02,	4.436941e-01,	1.389288e-04,	2.934204e-02,	2.218471e-01,	7.968938e+00,	1.674246e+00,	2.428189e+00,	
1.837449e-04,	5.925203e-02,	4.434249e-01,	9.187246e-05,	2.962601e-02,	2.217124e-01,	1.046563e+01,	2.302145e+00,	6.163160e+00,	
2.861673e-04,	5.984802e-02,	4.432401e-01,	1.430837e-04,	2.992401e-02,	2.216200e-01,	4.825048e+00,	-3.237885e-01,	3.142211e+00,	
7.728628e-04,	6.035804e-02,	4.432626e-01,	3.864314e-04,	3.017902e-02,	2.216313e-01,	1.374534e+01,	-1.013325e-01,	9.638471e+00,	
1.307753e-03,	6.084322e-02,	4.432638e-01,	6.538763e-04,	3.042161e-02,	2.216319e-01,	8.847487e+00,	-1.168561e+00,	3.207161e+00,	
2.739008e-03,	6.155107e-02,	4.435191e-01,	1.369504e-03,	3.077554e-02,	2.217596e-01,	5.803194e+00,	1.006834e+00,	4.670279e+00,	
3.474313e-03,	6.190802e-02,	4.436671e-01,	1.737156e-03,	3.095401e-02,	2.218336e-01,	5.116202e+00,	2.568657e+00,	4.404113e-01,	
3.821867e-03,	6.197393e-02,	4.437419e-01,	1.910934e-03,	3.098696e-02,	2.218710e-01,	-3.979453e+00,	-5.504223e+00,	2.528898e-01,	
5.047200e-03,	6.240751e-02,	4.441066e-01,	2.523600e-03,	3.120375e-02,	2.220533e-01,	1.380612e+00,	-5.706799e-01,	-1.570804e+00,	
5.605022e-03,	6.230611e-02,	4.441825e-01,	2.802511e-03,	3.115305e-02,	2.220913e-01,	-2.085233e+00,	-4.428236e-01,	-3.750931e-01,	
6.392948e-03,	6.218947e-02,	4.445552e-01,	3.196474e-03,	3.109473e-02,	2.222776e-01,	-5.259609e+00,	-5.374452e+00,	-2.048417e+00,	
