COLUMNS: 
  time
  root_link:T:-X
  root_link:T:-Y
  root_link:T:Z
  root_link:R:-X:rad
  root_link:R:-Y:rad
  root_link:R:Z:rad
  l_hip_1:R:X:rad
  l_hip_2:R:-Z:rad
  l_upper_leg:R:Y:rad
  l_lower_leg:R:X:rad
  l_ankle_1:R:-X:rad
  l_ankle_2:R:-Z:rad
  r_hip_1:R:-X:rad
  r_hip_2:R:-Z:rad
  r_upper_leg:R:-Y:rad
  r_lower_leg:R:-X:rad
  r_ankle_1:R:X:rad
  r_ankle_2:R:-Z:rad
  torso_1:R:X:rad
  torso_2:R:-Z:rad
  chest:R:-Y:rad
  DATA:

3.400000e-02,	3.421584e-02,	5.052290e-03,	5.794804e-01,	-8.851074e-02,	4.359970e-01,	1.633665e-01,	8.454225e-01,	-2.417023e-02,	-1.505950e-01,	-6.971018e-01,	-2.937527e-01,	-1.804276e-02,	7.851126e-01,	2.378689e-02,	1.486516e-01,	-6.772920e-01,	-3.336192e-01,	8.792523e-03,	-4.439532e-01,	-1.880268e-02,	1.479914e-01
3.500000e-02,	3.421550e-02,	5.052293e-03,	5.794804e-01,	-8.851073e-02,	4.359965e-01,	1.633665e-01,	8.454227e-01,	-2.417026e-02,	-1.505950e-01,	-6.971019e-01,	-2.937521e-01,	-1.804276e-02,	7.851128e-01,	2.378692e-02,	1.486516e-01,	-6.772922e-01,	-3.336186e-01,	8.792522e-03,	-4.439527e-01,	-1.880277e-02,	1.479914e-01
3.600000e-02,	3.421538e-02,	5.052295e-03,	5.794804e-01,	-8.851073e-02,	4.359963e-01,	1.633665e-01,	8.454228e-01,	-2.417027e-02,	-1.505950e-01,	-6.971020e-01,	-2.937518e-01,	-1.804275e-02,	7.851129e-01,	2.378693e-02,	1.486516e-01,	-6.772922e-01,	-3.336184e-01,	8.792517e-03,	-4.439525e-01,	-1.880280e-02,	1.479914e-01
3.700000e-02,	3.421534e-02,	5.052297e-03,	5.794804e-01,	-8.851073e-02,	4.359962e-01,	1.633665e-01,	8.454228e-01,	-2.417028e-02,	-1.505950e-01,	-6.971020e-01,	-2.937518e-01,	-1.804275e-02,	7.851129e-01,	2.378694e-02,	1.486516e-01,	-6.772922e-01,	-3.336183e-01,	8.792514e-03,	-4.439525e-01,	-1.880282e-02,	1.479914e-01
3.800000e-02,	3.421533e-02,	5.052297e-03,	5.794804e-01,	-8.851073e-02,	4.359962e-01,	1.633665e-01,	8.454228e-01,	-2.417028e-02,	-1.505950e-01,	-6.971020e-01,	-2.937517e-01,	-1.804275e-02,	7.851129e-01,	2.378694e-02,	1.486516e-01,	-6.772922e-01,	-3.336183e-01,	8.792513e-03,	-4.439524e-01,	-1.880282e-02,	1.479914e-01
3.900000e-02,	3.421533e-02,	5.052298e-03,	5.794804e-01,	-8.851073e-02,	4.359962e-01,	1.633665e-01,	8.454228e-01,	-2.417028e-02,	-1.505950e-01,	-6.971020e-01,	-2.937517e-01,	-1.804275e-02,	7.851130e-01,	2.378694e-02,	1.486516e-01,	-6.772922e-01,	-3.336183e-01,	8.792513e-03,	-4.439524e-01,	-1.880282e-02,	1.479914e-01
4.000000e-02,	3.421533e-02,	5.052298e-03,	5.794804e-01,	-8.851073e-02,	4.359962e-01,	1.633665e-01,	8.454228e-01,	-2.417028e-02,	-1.505950e-01,	-6.971020e-01,	-2.937517e-01,	-1.804275e-02,	7.851130e-01,	2.378694e-02,	1.486516e-01,	-6.772922e-01,	-3.336182e-01,	8.792512e-03,	-4.439524e-01,	-1.880282e-02,	1.479914e-01
4.100000e-02,	3.421532e-02,	5.052298e-03,	5.794804e-01,	-8.851073e-02,	4.359962e-01,	1.633665e-01,	8.454228e-01,	-2.417028e-02,	-1.505950e-01,	-6.971020e-01,	-2.937517e-01,	-1.804275e-02,	7.851130e-01,	2.378694e-02,	1.486516e-01,	-6.772922e-01,	-3.336182e-01,	8.792512e-03,	-4.439524e-01,	-1.880282e-02,	1.479914e-01
4.200000e-02,	3.421532e-02,	5.052298e-03,	5.794804e-01,	-8.851073e-02,	4.359962e-01,	1.633665e-01,	8.454228e-01,	-2.417028e-02,	-1.505950e-01,	-6.971020e-01,	-2.937517e-01,	-1.804275e-02,	7.851130e-01,	2.378694e-02,	1.486516e-01,	-6.772922e-01,	-3.336182e-01,	8.792512e-03,	-4.439524e-01,	-1.880282e-02,	1.479914e-01
4.300000e-02,	3.421532e-02,	5.052298e-03,	5.794804e-01,	-8.851073e-02,	4.359962e-01,	1.633665e-01,	8.454228e-01,	-2.417028e-02,	-1.505950e-01,	-6.971020e-01,	-2.937517e-01,	-1.804275e-02,	7.851130e-01,	2.378694e-02,	1.486516e-01,	-6.772922e-01,	-3.336182e-01,	8.792512e-03,	-4.439524e-01,	-1.880282e-02,	1.479914e-01
4.400000e-02,	3.421532e-02,	5.052298e-03,	5.794804e-01,	-8.851073e-02,	4.359962e-01,	1.633665e-01,	8.454228e-01,	-2.417028e-02,	-1.505950e-01,	-6.971020e-01,	-2.937517e-01,	-1.804275e-02,	7.851130e-01,	2.378694e-02,	1.486516e-01,	-6.772922e-01,	-3.336182e-01,	8.792512e-03,	-4.439524e-01,	-1.880282e-02,	1.479914e-01
4.500000e-02,	3.421532e-02,	5.052298e-03,	5.794804e-01,	-8.851073e-02,	4.359962e-01,	1.633665e-01,	8.454228e-01,	-2.417028e-02,	-1.505950e-01,	-6.971020e-01,	-2.937517e-01,	-1.804275e-02,	7.851130e-01,	2.378694e-02,	1.486516e-01,	-6.772922e-01,	-3.336182e-01,	8.792512e-03,	-4.439524e-01,	-1.880282e-02,	1.479914e-01
4.600000e-02,	3.421532e-02,	5.052298e-03,	5.794804e-01,	-8.851073e-02,	4.359962e-01,	1.633665e-01,	8.454228e-01,	-2.417028e-02,	-1.505950e-01,	-6.971020e-01,	-2.937517e-01,	-1.804275e-02,	7.851130e-01,	2.378694e-02,	1.486516e-01,	-6.772922e-01,	-3.336182e-01,	8.792512e-03,	-4.439524e-01,	-1.880282e-02,	1.479914e-01
4.700000e-02,	3.421532e-02,	5.052298e-03,	5.794804e-01,	-8.851073e-02,	4.359962e-01,	1.633665e-01,	8.454228e-01,	-2.417028e-02,	-1.505950e-01,	-6.971020e-01,	-2.937517e-01,	-1.804275e-02,	7.851130e-01,	2.378694e-02,	1.486516e-01,	-6.772922e-01,	-3.336182e-01,	8.792512e-03,	-4.439524e-01,	-1.880282e-02,	1.479914e-01
4.800000e-02,	3.421532e-02,	5.052298e-03,	5.794804e-01,	-8.851073e-02,	4.359962e-01,	1.633665e-01,	8.454228e-01,	-2.417028e-02,	-1.505950e-01,	-6.971020e-01,	-2.937517e-01,	-1.804275e-02,	7.851130e-01,	2.378694e-02,	1.486516e-01,	-6.772922e-01,	-3.336182e-01,	8.792512e-03,	-4.439524e-01,	-1.880282e-02,	1.479914e-01
